#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
regulation of MAPK cascade,Gene Ontology,GO:0043408,5,496,0.061144731,0.247957773
wound healing,Gene Ontology,GO:0042060,6,655,0.061513414,0.247957773
nephron development,Gene Ontology,GO:0072006,2,94,0.06156193,0.247957773
cardiac ventricle development,Gene Ontology,GO:0003231,2,94,0.06156193,0.247957773
cellular response to hypoxia,Gene Ontology,GO:0071456,2,94,0.06156193,0.247957773
negative regulation of epithelial cell proliferation,Gene Ontology,GO:0050680,2,94,0.06156193,0.247957773
cellular response to chemical stimulus,Gene Ontology,GO:0070887,14,2087,0.062913102,0.249196946
extrinsic apoptotic signaling pathway,Gene Ontology,GO:0097191,3,214,0.063644534,0.249196946
regulation of I-kappaB kinase/NF-kappaB signaling,Gene Ontology,GO:0043122,3,214,0.063644534,0.249196946
cytokine activity,Gene Ontology,GO:0005125,3,214,0.063644534,0.249196946
cellular response to decreased oxygen levels,Gene Ontology,GO:0036294,2,96,0.063822506,0.249196946
post-embryonic development,Gene Ontology,GO:0009791,2,96,0.063822506,0.249196946
cellular response to external stimulus,Gene Ontology,GO:0071496,3,215,0.064340084,0.249196946
induction of positive chemotaxis,Gene Ontology,GO:0050930,1,15,0.064829397,0.249196946
epiboly,Gene Ontology,GO:0090504,1,15,0.064829397,0.249196946
endothelial cell chemotaxis,Gene Ontology,GO:0035767,1,15,0.064829397,0.249196946
positive regulation of cell junction assembly,Gene Ontology,GO:1901890,1,15,0.064829397,0.249196946
regulation of cell migration involved in sprouting angiogenesis,Gene Ontology,GO:0090049,1,15,0.064829397,0.249196946
regulation of protein kinase C signaling,Gene Ontology,GO:0090036,1,15,0.064829397,0.249196946
diacylglycerol kinase activity,Gene Ontology,GO:0004143,1,15,0.064829397,0.249196946
response to thyroid hormone,Gene Ontology,GO:0097066,1,15,0.064829397,0.249196946
positive regulation of T cell migration,Gene Ontology,GO:2000406,1,15,0.064829397,0.249196946
regulation of neuron migration,Gene Ontology,GO:2001222,1,15,0.064829397,0.249196946
positive regulation of alpha-beta T cell proliferation,Gene Ontology,GO:0046641,1,15,0.064829397,0.249196946
androgen biosynthetic process,Gene Ontology,GO:0006702,1,15,0.064829397,0.249196946
venous blood vessel development,Gene Ontology,GO:0060841,1,15,0.064829397,0.249196946
receptor agonist activity,Gene Ontology,GO:0048018,1,15,0.064829397,0.249196946
regulation of axon extension involved in axon guidance,Gene Ontology,GO:0048841,1,15,0.064829397,0.249196946
regulation of mammary gland epithelial cell proliferation,Gene Ontology,GO:0033599,1,15,0.064829397,0.249196946
cellular response to vitamin,Gene Ontology,GO:0071295,1,15,0.064829397,0.249196946
transforming growth factor beta binding,Gene Ontology,GO:0050431,1,15,0.064829397,0.249196946
positive regulation of focal adhesion assembly,Gene Ontology,GO:0051894,1,15,0.064829397,0.249196946
positive regulation of protein metabolic process,Gene Ontology,GO:0051247,8,1004,0.065592006,0.25101926
erythrocyte differentiation,Gene Ontology,GO:0030218,2,98,0.066110687,0.252264465
regulation of epithelial cell differentiation,Gene Ontology,GO:0030856,2,98,0.066110687,0.252264465
growth,Gene Ontology,GO:0040007,7,835,0.066373868,0.252443318
cell junction organization,Gene Ontology,GO:0034330,3,218,0.066447724,0.252443318
anchoring junction,Gene Ontology,GO:0070161,3,218,0.066447724,0.252443318
regulation of response to cytokine stimulus,Gene Ontology,GO:0060759,2,99,0.067264936,0.254400528
unsaturated fatty acid metabolic process,Gene Ontology,GO:0033559,2,100,0.068425855,0.254400528
transmembrane receptor protein tyrosine kinase signaling pathway,Gene Ontology,GO:0007169,6,674,0.068443688,0.254400528
positive regulation of lymphocyte apoptotic process,Gene Ontology,GO:0070230,1,16,0.068738788,0.254400528
mRNA transcription,Gene Ontology,GO:0009299,1,16,0.068738788,0.254400528
pharyngeal system development,Gene Ontology,GO:0060037,1,16,0.068738788,0.254400528
cerebral cortex radial glia guided migration,Gene Ontology,GO:0021801,1,16,0.068738788,0.254400528
cellular response to estradiol stimulus,Gene Ontology,GO:0071392,1,16,0.068738788,0.254400528
negative regulation of anoikis,Gene Ontology,GO:2000811,1,16,0.068738788,0.254400528
positive regulation of receptor internalization,Gene Ontology,GO:0002092,1,16,0.068738788,0.254400528
vitamin D receptor binding,Gene Ontology,GO:0042809,1,16,0.068738788,0.254400528
regulation of keratinocyte proliferation,Gene Ontology,GO:0010837,1,16,0.068738788,0.254400528
chemokine metabolic process,Gene Ontology,GO:0050755,1,16,0.068738788,0.254400528
regulation of thymocyte apoptotic process,Gene Ontology,GO:0070243,1,16,0.068738788,0.254400528
tyrosine phosphorylation of Stat1 protein,Gene Ontology,GO:0042508,1,16,0.068738788,0.254400528
protein targeting,Gene Ontology,GO:0006605,5,514,0.068814856,0.254400528
cytokine receptor binding,Gene Ontology,GO:0005126,3,222,0.069306437,0.255494068
cellular response to oxygen levels,Gene Ontology,GO:0071453,2,101,0.069593369,0.255819652
cytokine production,Gene Ontology,GO:0001816,5,516,0.069698444,0.255819652
regulation of cell division,Gene Ontology,GO:0051302,3,223,0.070029698,0.255819652
cardiac chamber morphogenesis,Gene Ontology,GO:0003206,2,102,0.070767401,0.257964968
cell projection,Gene Ontology,GO:0042995,10,1381,0.071267766,0.258268525
proteinaceous extracellular matrix,Gene Ontology,GO:0005578,4,367,0.071772002,0.258268525
regulation of nervous system development,Gene Ontology,GO:0051960,5,521,0.071934703,0.258268525
regulation of protein kinase B signaling,Gene Ontology,GO:0051896,2,103,0.071947878,0.258268525
tight junction,Gene Ontology,GO:0005923,2,103,0.071947878,0.258268525
occluding junction,Gene Ontology,GO:0070160,2,103,0.071947878,0.258268525
protein phosphatase 2A binding,Gene Ontology,GO:0051721,1,17,0.072631838,0.258268525
ephrin receptor activity,Gene Ontology,GO:0005003,1,17,0.072631838,0.258268525
cellular response to epidermal growth factor stimulus,Gene Ontology,GO:0071364,1,17,0.072631838,0.258268525
transforming growth factor beta-activated receptor activity,Gene Ontology,GO:0005024,1,17,0.072631838,0.258268525
NAD+ kinase activity,Gene Ontology,GO:0003951,1,17,0.072631838,0.258268525
regulation of axon guidance,Gene Ontology,GO:1902667,1,17,0.072631838,0.258268525
interferon-gamma biosynthetic process,Gene Ontology,GO:0042095,1,17,0.072631838,0.258268525
regulation of membrane protein ectodomain proteolysis,Gene Ontology,GO:0051043,1,17,0.072631838,0.258268525
transmembrane receptor protein serine/threonine kinase activity,Gene Ontology,GO:0004675,1,17,0.072631838,0.258268525
axonal fasciculation,Gene Ontology,GO:0007413,1,17,0.072631838,0.258268525
regulation of centrosome duplication,Gene Ontology,GO:0010824,1,17,0.072631838,0.258268525
thyroid hormone generation,Gene Ontology,GO:0006590,1,17,0.072631838,0.258268525
metalloendopeptidase activity,Gene Ontology,GO:0004222,2,104,0.073134724,0.258647193
regulation of inflammatory response,Gene Ontology,GO:0050727,3,228,0.073696872,0.260282591
liver development,Gene Ontology,GO:0001889,2,105,0.074327865,0.261241056
ureteric bud development,Gene Ontology,GO:0001657,2,105,0.074327865,0.261241056
cellular response to organic cyclic compound,Gene Ontology,GO:0071407,3,230,0.07518724,0.262057071
regulation of microtubule-based process,Gene Ontology,GO:0032886,2,106,0.075527229,0.262057071
erythrocyte homeostasis,Gene Ontology,GO:0034101,2,106,0.075527229,0.262057071
regulation of leukocyte migration,Gene Ontology,GO:0002685,2,106,0.075527229,0.262057071
cellular response to endogenous stimulus,Gene Ontology,GO:0071495,7,862,0.07553475,0.262057071
regulation of transcription from RNA polymerase III promoter,Gene Ontology,GO:0006359,1,18,0.076508616,0.262057071
metanephric nephron tubule development,Gene Ontology,GO:0072234,1,18,0.076508616,0.262057071
fibronectin binding,Gene Ontology,GO:0001968,1,18,0.076508616,0.262057071
branch elongation of an epithelium,Gene Ontology,GO:0060602,1,18,0.076508616,0.262057071
positive regulation of neuroblast proliferation,Gene Ontology,GO:0002052,1,18,0.076508616,0.262057071
metanephric nephron epithelium development,Gene Ontology,GO:0072243,1,18,0.076508616,0.262057071
regulation of T cell migration,Gene Ontology,GO:2000404,1,18,0.076508616,0.262057071
positive regulation of natural killer cell activation,Gene Ontology,GO:0032816,1,18,0.076508616,0.262057071
regulation of interleukin-17 production,Gene Ontology,GO:0032660,1,18,0.076508616,0.262057071
podosome,Gene Ontology,GO:0002102,1,18,0.076508616,0.262057071
establishment of endothelial barrier,Gene Ontology,GO:0061028,1,18,0.076508616,0.262057071
hepaticobiliary system development,Gene Ontology,GO:0061008,2,107,0.076732743,0.262480288
regulation of neuron differentiation,Gene Ontology,GO:0045664,4,379,0.0785347,0.266895269
regulation of cell shape,Gene Ontology,GO:0008360,2,109,0.07916193,0.26721476
myeloid leukocyte migration,Gene Ontology,GO:0097529,2,109,0.07916193,0.26721476
regulation of signal transduction,Gene Ontology,GO:0009966,14,2167,0.079348162,0.26721476
T cell activation,Gene Ontology,GO:0042110,4,381,0.079691664,0.26721476
I-kappaB kinase/NF-kappaB signaling,Gene Ontology,GO:0007249,3,236,0.079737555,0.26721476
substrate-dependent cell migration,Gene Ontology,GO:0006929,1,19,0.08036919,0.26721476
interleukin-17 production,Gene Ontology,GO:0032620,1,19,0.08036919,0.26721476
regulation of Cdc42 GTPase activity,Gene Ontology,GO:0043088,1,19,0.08036919,0.26721476
SMAD protein import into nucleus,Gene Ontology,GO:0007184,1,19,0.08036919,0.26721476
mammary gland lobule development,Gene Ontology,GO:0061377,1,19,0.08036919,0.26721476
mammary gland alveolus development,Gene Ontology,GO:0060749,1,19,0.08036919,0.26721476
glomerulus vasculature development,Gene Ontology,GO:0072012,1,19,0.08036919,0.26721476
RNA polymerase binding,Gene Ontology,GO:0070063,1,19,0.08036919,0.26721476
labyrinthine layer morphogenesis,Gene Ontology,GO:0060713,1,19,0.08036919,0.26721476
positive regulation of branching involved in ureteric bud morphogenesis,Gene Ontology,GO:0090190,1,19,0.08036919,0.26721476
regulation of localization,Gene Ontology,GO:0032879,11,1605,0.081539987,0.270075339
regulation of apoptotic process,Gene Ontology,GO:0042981,9,1237,0.082066437,0.271474527
regulation of axonogenesis,Gene Ontology,GO:0050770,2,112,0.082850039,0.273373707
keratinocyte differentiation,Gene Ontology,GO:0030216,2,112,0.082850039,0.273373707
response to cholesterol,Gene Ontology,GO:0070723,1,20,0.084213628,0.27338006
regulation of histone deacetylation,Gene Ontology,GO:0031063,1,20,0.084213628,0.27338006
thyroid hormone metabolic process,Gene Ontology,GO:0042403,1,20,0.084213628,0.27338006
negative regulation of blood vessel endothelial cell migration,Gene Ontology,GO:0043537,1,20,0.084213628,0.27338006
kidney vasculature development,Gene Ontology,GO:0061440,1,20,0.084213628,0.27338006
microfilament motor activity,Gene Ontology,GO:0000146,1,20,0.084213628,0.27338006
regulation of anoikis,Gene Ontology,GO:2000209,1,20,0.084213628,0.27338006
regulation of alpha-beta T cell proliferation,Gene Ontology,GO:0046640,1,20,0.084213628,0.27338006
transforming growth factor beta receptor binding,Gene Ontology,GO:0005160,1,20,0.084213628,0.27338006
metanephric tubule development,Gene Ontology,GO:0072170,1,20,0.084213628,0.27338006
renal system vasculature development,Gene Ontology,GO:0061437,1,20,0.084213628,0.27338006
ligand-dependent nuclear receptor binding,Gene Ontology,GO:0016922,1,20,0.084213628,0.27338006
cardiac epithelial to mesenchymal transition,Gene Ontology,GO:0060317,1,20,0.084213628,0.27338006
female sex differentiation,Gene Ontology,GO:0046660,2,114,0.08533751,0.274682516
growth factor receptor binding,Gene Ontology,GO:0070851,2,114,0.08533751,0.274682516
regulation of protein serine/threonine kinase activity,Gene Ontology,GO:0071900,4,391,0.085602433,0.274812238
response to endogenous stimulus,Gene Ontology,GO:0009719,9,1249,0.085797315,0.275099498
regulation of programmed cell death,Gene Ontology,GO:0043067,9,1250,0.086112713,0.275772003
regulation of Rho GTPase activity,Gene Ontology,GO:0032319,2,115,0.086589657,0.276554987
"positive regulation of transcription, DNA-templated",Gene Ontology,GO:0045893,8,1070,0.086616462,0.276554987
regulation of T cell activation,Gene Ontology,GO:0050863,3,245,0.086780683,0.276554987
cell growth,Gene Ontology,GO:0016049,4,394,0.08741617,0.276854953
regulation of lymphocyte differentiation,Gene Ontology,GO:0045619,2,116,0.087847319,0.276854953
sphingolipid catabolic process,Gene Ontology,GO:0030149,1,21,0.088041996,0.276854953
positive regulation of activated T cell proliferation,Gene Ontology,GO:0042104,1,21,0.088041996,0.276854953
positive regulation of lymphocyte migration,Gene Ontology,GO:2000403,1,21,0.088041996,0.276854953
negative regulation of interleukin-6 production,Gene Ontology,GO:0032715,1,21,0.088041996,0.276854953
positive regulation of acute inflammatory response,Gene Ontology,GO:0002675,1,21,0.088041996,0.276854953
myosin filament,Gene Ontology,GO:0032982,1,21,0.088041996,0.276854953
thymocyte apoptotic process,Gene Ontology,GO:0070242,1,21,0.088041996,0.276854953
regulation of centrosome cycle,Gene Ontology,GO:0046605,1,21,0.088041996,0.276854953
embryonic placenta morphogenesis,Gene Ontology,GO:0060669,1,21,0.088041996,0.276854953
positive regulation of cell cycle,Gene Ontology,GO:0045787,2,117,0.08911043,0.279541132
regulation of epithelial cell migration,Gene Ontology,GO:0010632,2,117,0.08911043,0.279541132
regulation of T cell proliferation,Gene Ontology,GO:0042129,2,118,0.090378921,0.283180052
regulation of phosphorylation,Gene Ontology,GO:0042325,8,1083,0.091171215,0.283715844
chemoattractant activity,Gene Ontology,GO:0042056,1,22,0.091854363,0.283715844
positive regulation of filopodium assembly,Gene Ontology,GO:0051491,1,22,0.091854363,0.283715844
N-terminal protein amino acid modification,Gene Ontology,GO:0031365,1,22,0.091854363,0.283715844
cellular response to estrogen stimulus,Gene Ontology,GO:0071391,1,22,0.091854363,0.283715844
lens fiber cell differentiation,Gene Ontology,GO:0070306,1,22,0.091854363,0.283715844
membrane lipid catabolic process,Gene Ontology,GO:0046466,1,22,0.091854363,0.283715844
lymph vessel development,Gene Ontology,GO:0001945,1,22,0.091854363,0.283715844
positive regulation of blood vessel endothelial cell migration,Gene Ontology,GO:0043536,1,22,0.091854363,0.283715844
regulation of branching involved in ureteric bud morphogenesis,Gene Ontology,GO:0090189,1,22,0.091854363,0.283715844
response to epidermal growth factor,Gene Ontology,GO:0070849,1,22,0.091854363,0.283715844
metanephric epithelium development,Gene Ontology,GO:0072207,1,22,0.091854363,0.283715844
regulation of chemotaxis,Gene Ontology,GO:0050920,2,120,0.092931777,0.28535522
apical junction complex,Gene Ontology,GO:0043296,2,120,0.092931777,0.28535522
regulation of neuron projection development,Gene Ontology,GO:0010975,3,254,0.094076085,0.287613566
negative regulation of neuron apoptotic process,Gene Ontology,GO:0043524,2,121,0.094216009,0.287613566
cardiac chamber development,Gene Ontology,GO:0003205,2,121,0.094216009,0.287613566
central nervous system projection neuron axonogenesis,Gene Ontology,GO:0021952,1,23,0.095650795,0.287613566
heart trabecula morphogenesis,Gene Ontology,GO:0061384,1,23,0.095650795,0.287613566
establishment of spindle localization,Gene Ontology,GO:0051293,1,23,0.095650795,0.287613566
motor neuron axon guidance,Gene Ontology,GO:0008045,1,23,0.095650795,0.287613566
regulation of Cdc42 protein signal transduction,Gene Ontology,GO:0032489,1,23,0.095650795,0.287613566
epidermal growth factor receptor binding,Gene Ontology,GO:0005154,1,23,0.095650795,0.287613566
positive regulation of cytokine-mediated signaling pathway,Gene Ontology,GO:0001961,1,23,0.095650795,0.287613566
cerebral cortex radially oriented cell migration,Gene Ontology,GO:0021799,1,23,0.095650795,0.287613566
response to ATP,Gene Ontology,GO:0033198,1,23,0.095650795,0.287613566
forebrain regionalization,Gene Ontology,GO:0021871,1,23,0.095650795,0.287613566
alpha-beta T cell proliferation,Gene Ontology,GO:0046633,1,23,0.095650795,0.287613566
interleukin-2 biosynthetic process,Gene Ontology,GO:0042094,1,23,0.095650795,0.287613566
response to sterol,Gene Ontology,GO:0036314,1,23,0.095650795,0.287613566
regulation of intracellular estrogen receptor signaling pathway,Gene Ontology,GO:0033146,1,23,0.095650795,0.287613566
regulation of receptor internalization,Gene Ontology,GO:0002090,1,23,0.095650795,0.287613566
negative regulation of cell proliferation,Gene Ontology,GO:0008285,5,571,0.096403877,0.28921163
positive regulation of NF-kappaB transcription factor activity,Gene Ontology,GO:0051092,2,123,0.096799753,0.290065851
myeloid cell homeostasis,Gene Ontology,GO:0002262,2,124,0.098099136,0.290583424
protein kinase B signaling,Gene Ontology,GO:0043491,2,124,0.098099136,0.290583424
single-organism developmental process,Gene Ontology,GO:0044767,27,4894,0.098402361,0.290583424
anoikis,Gene Ontology,GO:0043276,1,24,0.099431359,0.290583424
cell differentiation involved in embryonic placenta development,Gene Ontology,GO:0060706,1,24,0.099431359,0.290583424
regulation of natural killer cell activation,Gene Ontology,GO:0032814,1,24,0.099431359,0.290583424
myoblast fusion,Gene Ontology,GO:0007520,1,24,0.099431359,0.290583424
response to vitamin D,Gene Ontology,GO:0033280,1,24,0.099431359,0.290583424
regulation of interferon-gamma-mediated signaling pathway,Gene Ontology,GO:0060334,1,24,0.099431359,0.290583424
positive regulation of epidermis development,Gene Ontology,GO:0045684,1,24,0.099431359,0.290583424
lipid phosphorylation,Gene Ontology,GO:0046834,1,24,0.099431359,0.290583424
positive regulation of synapse assembly,Gene Ontology,GO:0051965,1,24,0.099431359,0.290583424
positive regulation of response to cytokine stimulus,Gene Ontology,GO:0060760,1,24,0.099431359,0.290583424
negative regulation of smoothened signaling pathway,Gene Ontology,GO:0045879,1,24,0.099431359,0.290583424
myosin II complex,Gene Ontology,GO:0016460,1,24,0.099431359,0.290583424
positive regulation of nervous system development,Gene Ontology,GO:0051962,1,24,0.099431359,0.290583424
positive regulation of smooth muscle contraction,Gene Ontology,GO:0045987,1,24,0.099431359,0.290583424
positive regulation of receptor activity,Gene Ontology,GO:2000273,1,24,0.099431359,0.290583424
vascular endothelial growth factor production,Gene Ontology,GO:0010573,1,24,0.099431359,0.290583424
immunological synapse,Gene Ontology,GO:0001772,1,24,0.099431359,0.290583424
cellular response to oxygen-containing compound,Gene Ontology,GO:1901701,6,748,0.099533173,0.290583424
positive regulation of multicellular organismal process,Gene Ontology,GO:0051240,5,580,0.101204822,0.294147646
regulation of cell death,Gene Ontology,GO:0010941,9,1296,0.101365388,0.294174795
extracellular space,Gene Ontology,GO:0005615,8,1111,0.101439585,0.294174795
positive regulation of RNA biosynthetic process,Gene Ontology,GO:1902680,8,1112,0.101817809,0.294894026
cellular response to nutrient levels,Gene Ontology,GO:0031669,2,127,0.102026554,0.294894026
stem cell proliferation,Gene Ontology,GO:0072089,2,127,0.102026554,0.294894026
protein localization to organelle,Gene Ontology,GO:0033365,5,583,0.102831211,0.295655185
positive regulation of metabolic process,Gene Ontology,GO:0009893,14,2265,0.102935086,0.295655185
regulation of transcription involved in G1/S transition of mitotic cell cycle,Gene Ontology,GO:0000083,1,25,0.10319612,0.295655185
erythrocyte development,Gene Ontology,GO:0048821,1,25,0.10319612,0.295655185
dendritic spine morphogenesis,Gene Ontology,GO:0060997,1,25,0.10319612,0.295655185
regulation of response to interferon-gamma,Gene Ontology,GO:0060330,1,25,0.10319612,0.295655185
positive regulation of leukocyte apoptotic process,Gene Ontology,GO:2000108,1,25,0.10319612,0.295655185
positive regulation of positive chemotaxis,Gene Ontology,GO:0050927,1,25,0.10319612,0.295655185
response to alcohol,Gene Ontology,GO:0097305,3,265,0.10332023,0.295686186
positive regulation of cytokine production,Gene Ontology,GO:0001819,3,266,0.104177866,0.296627875
cell death,Gene Ontology,GO:0008219,12,1878,0.104324835,0.296627875
regulation of cell development,Gene Ontology,GO:0060284,5,586,0.104470524,0.296627875
tube formation,Gene Ontology,GO:0035148,2,129,0.104668592,0.296627875
activation of MAPK activity,Gene Ontology,GO:0000187,2,129,0.104668592,0.296627875
death,Gene Ontology,GO:0016265,12,1880,0.104906362,0.296627875
negative regulation of neuron death,Gene Ontology,GO:1901215,2,130,0.105996551,0.296627875
regulation of protein deacetylation,Gene Ontology,GO:0090311,1,26,0.106945146,0.296627875
positive regulation of pathway-restricted SMAD protein phosphorylation,Gene Ontology,GO:0010862,1,26,0.106945146,0.296627875
spindle localization,Gene Ontology,GO:0051653,1,26,0.106945146,0.296627875
prostanoid biosynthetic process,Gene Ontology,GO:0046457,1,26,0.106945146,0.296627875
apoptotic process involved in morphogenesis,Gene Ontology,GO:0060561,1,26,0.106945146,0.296627875
cellular response to nutrient,Gene Ontology,GO:0031670,1,26,0.106945146,0.296627875
estrogen receptor binding,Gene Ontology,GO:0030331,1,26,0.106945146,0.296627875
prostaglandin biosynthetic process,Gene Ontology,GO:0001516,1,26,0.106945146,0.296627875
regulation of neuroblast proliferation,Gene Ontology,GO:1902692,1,26,0.106945146,0.296627875
intramolecular transferase activity,Gene Ontology,GO:0016866,1,26,0.106945146,0.296627875
positive regulation of cellular component biogenesis,Gene Ontology,GO:0044089,1,26,0.106945146,0.296627875
cellular response to vascular endothelial growth factor stimulus,Gene Ontology,GO:0035924,1,26,0.106945146,0.296627875
negative regulation of endothelial cell proliferation,Gene Ontology,GO:0001937,1,26,0.106945146,0.296627875
mammary gland epithelial cell proliferation,Gene Ontology,GO:0033598,1,26,0.106945146,0.296627875
branching involved in mammary gland duct morphogenesis,Gene Ontology,GO:0060444,1,26,0.106945146,0.296627875
positive regulation of axon extension,Gene Ontology,GO:0045773,1,26,0.106945146,0.296627875
regulation of Rac GTPase activity,Gene Ontology,GO:0032314,1,26,0.106945146,0.296627875
enzyme linked receptor protein signaling pathway,Gene Ontology,GO:0007167,7,943,0.107211599,0.296756798
developmental process,Gene Ontology,GO:0032502,27,4945,0.107219027,0.296756798
response to acid,Gene Ontology,GO:0001101,3,270,0.107636395,0.297281471
behavior,Gene Ontology,GO:0007610,5,593,0.108345456,0.298607856
regulation of cellular component biogenesis,Gene Ontology,GO:0044087,4,428,0.109231043,0.300499826
organ development,Gene Ontology,GO:0048513,16,2690,0.10955579,0.300907174
phosphatase binding,Gene Ontology,GO:0019902,2,133,0.110007452,0.300907174
positive regulation of RNA metabolic process,Gene Ontology,GO:0051254,8,1134,0.11033732,0.300907174
T cell migration,Gene Ontology,GO:0072678,1,27,0.110678501,0.300907174
ADP binding,Gene Ontology,GO:0043531,1,27,0.110678501,0.300907174
thyroid hormone receptor binding,Gene Ontology,GO:0046966,1,27,0.110678501,0.300907174
negative regulation of chemotaxis,Gene Ontology,GO:0050922,1,27,0.110678501,0.300907174
regulation of vascular permeability,Gene Ontology,GO:0043114,1,27,0.110678501,0.300907174
regulation of transcription from RNA polymerase II promoter in response to hypoxia,Gene Ontology,GO:0061418,1,27,0.110678501,0.300907174
regulation of protein autophosphorylation,Gene Ontology,GO:0031952,1,27,0.110678501,0.300907174
extracellular matrix,Gene Ontology,GO:0031012,4,432,0.111944219,0.30235355
cellular component disassembly,Gene Ontology,GO:0022411,4,432,0.111944219,0.30235355
positive regulation of defense response,Gene Ontology,GO:0031349,3,275,0.112021411,0.30235355
brain development,Gene Ontology,GO:0007420,5,600,0.112289455,0.302763924
heparin binding,Gene Ontology,GO:0008201,2,135,0.112703299,0.303566161
sleep,Gene Ontology,GO:0030431,1,28,0.114396251,0.305916205
positive regulation of Ras protein signal transduction,Gene Ontology,GO:0046579,1,28,0.114396251,0.305916205
lymphocyte chemotaxis,Gene Ontology,GO:0048247,1,28,0.114396251,0.305916205
neuron projection extension involved in neuron projection guidance,Gene Ontology,GO:1902284,1,28,0.114396251,0.305916205
axon extension involved in axon guidance,Gene Ontology,GO:0048846,1,28,0.114396251,0.305916205
cellular response to acid,Gene Ontology,GO:0071229,2,137,0.115416118,0.307383742
tissue remodeling,Gene Ontology,GO:0048771,2,137,0.115416118,0.307383742
leukocyte chemotaxis,Gene Ontology,GO:0030595,2,137,0.115416118,0.307383742
cell migration involved in sprouting angiogenesis,Gene Ontology,GO:0002042,1,29,0.118098462,0.310846363
ventricular septum morphogenesis,Gene Ontology,GO:0060412,1,29,0.118098462,0.310846363
apoptotic process involved in development,Gene Ontology,GO:1902742,1,29,0.118098462,0.310846363
keratinocyte proliferation,Gene Ontology,GO:0043616,1,29,0.118098462,0.310846363
type 2 immune response,Gene Ontology,GO:0042092,1,29,0.118098462,0.310846363
central nervous system neuron axonogenesis,Gene Ontology,GO:0021955,1,29,0.118098462,0.310846363
ephrin receptor signaling pathway,Gene Ontology,GO:0048013,1,29,0.118098462,0.310846363
cellular extravasation,Gene Ontology,GO:0045123,1,29,0.118098462,0.310846363
regulation of lymphocyte migration,Gene Ontology,GO:2000401,1,29,0.118098462,0.310846363
dendritic spine organization,Gene Ontology,GO:0097061,1,29,0.118098462,0.310846363
mesenchymal cell development,Gene Ontology,GO:0014031,2,139,0.118145438,0.310846363
regulation of protein modification process,Gene Ontology,GO:0031399,8,1158,0.120059521,0.314357116
muscle cell differentiation,Gene Ontology,GO:0042692,3,284,0.120082009,0.314357116
ruffle,Gene Ontology,GO:0001726,2,141,0.120890795,0.315024152
secretory granule,Gene Ontology,GO:0030141,3,285,0.120990556,0.315024152
central nervous system development,Gene Ontology,GO:0007417,6,793,0.121519697,0.315024152
pattern specification process,Gene Ontology,GO:0007389,4,446,0.121671318,0.315024152
regulation of DNA-dependent DNA replication,Gene Ontology,GO:0090329,1,30,0.121785199,0.315024152
eye photoreceptor cell development,Gene Ontology,GO:0042462,1,30,0.121785199,0.315024152
axis elongation,Gene Ontology,GO:0003401,1,30,0.121785199,0.315024152
ribosome binding,Gene Ontology,GO:0043022,1,30,0.121785199,0.315024152
syncytium formation by plasma membrane fusion,Gene Ontology,GO:0000768,1,30,0.121785199,0.315024152
negative regulation of endothelial cell migration,Gene Ontology,GO:0010596,1,30,0.121785199,0.315024152
regulation of activated T cell proliferation,Gene Ontology,GO:0046006,1,30,0.121785199,0.315024152
protein tyrosine kinase activity,Gene Ontology,GO:0004713,2,143,0.123651732,0.319383838
embryo development,Gene Ontology,GO:0009790,7,980,0.123715349,0.319383838
morphogenesis of embryonic epithelium,Gene Ontology,GO:0016331,2,144,0.125037902,0.320999165
spleen development,Gene Ontology,GO:0048536,1,31,0.125456525,0.320999165
placenta blood vessel development,Gene Ontology,GO:0060674,1,31,0.125456525,0.320999165
regulation of T cell apoptotic process,Gene Ontology,GO:0070232,1,31,0.125456525,0.320999165
androgen metabolic process,Gene Ontology,GO:0008209,1,31,0.125456525,0.320999165
heterophilic cell-cell adhesion,Gene Ontology,GO:0007157,1,31,0.125456525,0.320999165
embryonic hindlimb morphogenesis,Gene Ontology,GO:0035116,1,31,0.125456525,0.320999165
myeloid cell development,Gene Ontology,GO:0061515,1,31,0.125456525,0.320999165
regulation of Ras protein signal transduction,Gene Ontology,GO:0046578,3,290,0.125570938,0.320999165
response to oxygen-containing compound,Gene Ontology,GO:1901700,8,1172,0.125933561,0.321611148
T cell proliferation,Gene Ontology,GO:0042098,2,145,0.126427799,0.322557726
response to chemical,Gene Ontology,GO:0042221,18,3166,0.126718276,0.322668001
neuron recognition,Gene Ontology,GO:0008038,1,32,0.129112506,0.326534537
macrophage differentiation,Gene Ontology,GO:0030225,1,32,0.129112506,0.326534537
positive regulation of muscle contraction,Gene Ontology,GO:0045933,1,32,0.129112506,0.326534537
positive regulation of cell-matrix adhesion,Gene Ontology,GO:0001954,1,32,0.129112506,0.326534537
metanephros morphogenesis,Gene Ontology,GO:0003338,1,32,0.129112506,0.326534537
regulation of bone resorption,Gene Ontology,GO:0045124,1,32,0.129112506,0.326534537
positive regulation of cellular component organization,Gene Ontology,GO:0051130,5,633,0.131782911,0.330932061
regulation of cellular localization,Gene Ontology,GO:0060341,6,813,0.131997677,0.330932061
positive regulation of small GTPase mediated signal transduction,Gene Ontology,GO:0051057,1,33,0.132753206,0.330932061
regulation of filopodium assembly,Gene Ontology,GO:0051489,1,33,0.132753206,0.330932061
